Drive Cycle,
time(s),Velocity (Kmph)
40.8,201.58
40.9,204.82
41,208.05
41.1,212.28
41.2,217.39
41.3,221.75
41.4,225.89
41.5,229.71
41.6,233.7
41.7,237.55
41.8,241.16
41.9,244.52
42,247.76
42.1,250.87
42.2,254.36
42.3,257.22
42.4,259.59
42.5,261.58
42.6,263.07
42.7,265.06
42.8,266.81
42.9,268.3
43,268.8
43.1,269.54
43.2,271.04
43.3,272.53
43.4,273.78
43.5,275.52
43.6,277.51
43.7,279.38
43.8,281
43.9,281.99
44,282.99
44.1,283.74
44.2,284.48
44.3,285.48
44.4,286.22
44.5,286.97
44.6,287.72
44.7,286.35
44.8,285.73
44.9,286.35
45,284.61
45.1,284.48
45.2,284.48
45.3,284.73
45.4,285.48
45.5,285.73
45.6,286.47
45.7,287.22
45.8,287.72
45.9,288.47
46,289.21
46.1,289.46
46.2,290.21
46.3,290.46
46.4,290.95
46.5,291.45
46.6,291.45
46.7,292.45
